Geopolitical entity (reporting),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Change since 2002,Change since 2002 in %,Change since 2019,Change since 2019 in %
Austria,78.9,78.8,79.3,79.5,80.1,80.3,80.6,80.5,80.7,81.1,81.1,81.3,81.4,81.2,81.6,81.6,81.7,81.9,81.3,81.3,81.4,81.9,82.1,3.1999999999999886,4.055766793409364,0.19999999999998863,0.24420024420023032
Belgium,78.2,78.3,79.0,79.1,79.5,79.9,79.8,80.2,80.3,80.7,80.5,80.7,81.1,80.9,81.3,81.4,81.5,81.8,80.8,81.7,81.7,82.3,82.4,4.200000000000003,5.370843989769824,0.6000000000000085,0.7334963325183479
Bulgaria,72.1,72.3,72.5,72.5,72.7,73.0,73.3,73.7,73.8,74.2,74.4,74.9,74.4,74.5,74.7,74.6,74.7,74.8,73.3,71.2,74.1,75.7,75.8,3.700000000000003,5.131761442441059,1.0,1.3368983957219251
Croatia,74.7,74.6,75.4,75.3,75.9,75.8,76.0,76.3,76.7,77.2,77.3,77.8,77.8,77.4,78.0,77.8,78.0,78.3,77.6,76.6,77.7,78.5,78.9,4.200000000000003,5.622489959839361,0.6000000000000085,0.7662835249042255
Cyprus,78.7,79.0,79.1,78.7,80.1,79.8,80.6,81.0,81.5,81.2,81.1,82.5,82.3,81.9,82.8,82.4,83.0,82.6,82.7,81.8,82.2,83.0,83.5,4.799999999999997,6.0991105463786495,0.9000000000000057,1.0895883777239779
Czech Rep.,75.4,75.3,75.9,76.1,76.7,77.0,77.3,77.4,77.7,78.0,78.1,78.3,78.8,78.6,79.0,79.0,79.0,79.2,78.3,77.2,79.0,79.8,80.1,4.699999999999989,6.233421750663115,0.8999999999999915,1.1363636363636256
Denmark,77.1,77.4,77.8,78.3,78.4,78.4,78.8,79.0,79.3,79.9,80.2,80.4,80.6,80.7,80.9,81.1,81.0,81.4,81.5,81.4,81.3,81.7,82.0,4.900000000000006,6.355382619974067,0.5999999999999943,0.7371007371007301
EU27,77.6,77.7,78.3,78.4,78.9,79.1,79.3,79.5,79.8,80.1,80.2,80.5,80.6,80.5,80.7,80.7,80.8,81.1,80.3,80.0,80.6,81.2,81.5,3.9000000000000057,5.025773195876297,0.4000000000000057,0.4932182490752228
Estonia,71.4,71.9,72.4,73.0,73.2,73.2,74.4,75.3,76.0,76.6,76.7,77.5,77.1,77.7,77.8,78.2,78.4,78.8,78.8,77.2,78.1,78.9,79.4,8.0,11.204481792717086,0.6000000000000085,0.7614213197969651
Finland,78.3,78.6,79.0,79.1,79.5,79.6,79.9,80.1,80.2,80.6,80.7,81.1,81.1,81.4,81.3,81.5,81.6,81.9,81.8,81.8,81.2,81.6,82.2,3.9000000000000057,4.980842911877402,0.29999999999999716,0.3663003663003628
